Name,Price,Profession,Normalized
Dell KM636 White,29.9,Artist,0.06847033288746435
Logitech K380 Pink,49.9,Engineer,0.11894606667844432
Trust Muto Silent,10.48,Healthcare,0.019458395376422785
HAMA Cortino Wireless,24.9,Marketing,0.05585139943971935
Ασύρματο mini Qwerty Πληκτρολόγιο Μαύρο,10.56,Doctor,0.019660298311586707
Trust Nado,22.6,"Executive, Lawyer",0.05004669005375666
NOD W-KMS-103,14.9,"Lawyer, Healthcare",0.030613532544229362
DAS Keyboard 4 Professional,166.8,"Marketing, Lawyer",0.41397673068672236
i8+ Backlit,9.82,"Executive, Doctor",0.017792696161320447
Logitech MK240 Nano Black,24.5,Homemaker,0.054841884763899756
HP Premium,67.8,"Marketing, Healthcare",0.16412184842137142
Microsoft Wired Desktop 600,22.25,Entertainment,0.0491633647124145
Logitech K375s Multi-Device,39.32,Entertainment,0.09224440350301591
HAMA Cortino,13.27,Engineer,0.026499760240264493
Lamtech LAM021295,8.26,Artist,0.013855588925624007
C120,8.74,"Doctor, Entertainment",0.015067006536607527
Logitech K600 TV,99.99,Healthcare,0.2453625419579537
Logitech Wireless Combo MK330,38.0,Artist,0.08891300507281123
HP K2500,19.7,Artist,0.042727708654064556
Rebeltec Millenium,15.0,"Healthcare, Lawyer",0.03086591121318426
Conceptum CB402 Black,5.17,Artist,0.006057088054917598
Lamtech LAM020854,14.4,"Doctor, Executive",0.02935163919945486
Trust Nova,16.5,"Artist, Engineer",0.03465159124750776
i8 Backlit,10.86,"Doctor, Lawyer",0.020417434318451402
Logitech K400 Professional Wireless Touch Keyboard,32.0,"Doctor, Artist",0.07377028493551725
Microsoft Wireless Sculpt Ergonomic Desktop & Mouse,100.8,"Executive, Homemaker",0.24740680917648838
Riitek Rii K12+,34.0,"Engineer, Entertainment",0.07881785831461524
Logitech K360 Black,35.0,"Homemaker, Engineer",0.08134164500416424
HP Slim Wireless Keyboard and Mouse,39.51,"Doctor, Executive",0.09272392297403022
Logitech Wireless Illuminated Keyboard K800,99.99,Engineer,0.2453625419579537
Conceptum CB401,6.2,"Homemaker, Healthcare",0.008656588345153067
Rebeltec Inspire,7.38,"Healthcare, Entertainment",0.011634656638820885
Microsoft Designer Bluetooth Desktop,83.75,Homemaker,0.20437624611967797
